"","ENTREZID","SYMBOL","ENSEMBL","SRR12878708","SRR12878713","SRR12878714","SRR12878717","SRR12878718","SRR12878719"
"22086","7726","TRIM26","ENSG00000231002",901,86,417,5,114,69
"22087","7726","TRIM26","ENSG00000226060",901,86,417,5,114,69
"22088","7726","TRIM26","ENSG00000228881",901,86,417,5,114,69
"22089","7726","TRIM26","ENSG00000234046",901,86,417,5,114,69
"22090","7726","TRIM26","ENSG00000137313",901,86,417,5,114,69
"22091","7726","TRIM26","ENSG00000230230",901,86,417,5,114,69
"22092","7726","TRIM26","ENSG00000231641",901,86,417,5,114,69
"22093","7727","ZNF174","ENSG00000103343",212,19,90,1,14,6
"22094","7728","ZNF175","ENSG00000105497",313,42,201,3,36,25
"22096","7730","ZNF177","ENSG00000188629",1,0,0,0,0,0
"22097","7730","ZNF177","ENSG00000270011",1,0,0,0,0,0
"22098","7732","RNF112","ENSG00000128482",12,6,3,10,0,3
"22099","7733","ZNF180","ENSG00000167384",212,25,157,0,15,13
"22100","7737","RNF113A","ENSG00000125352",328,21,314,0,9,8
"22101","7738","ZNF184","ENSG00000096654",445,37,229,0,28,18
"22102","7739","ZNF185","ENSG00000147394",394,34,163,23,16,2
"22104","7741","ZSCAN26","ENSG00000197062",578,21,361,0,28,27
"22105","7743","ZNF189","ENSG00000136870",835,45,497,0,15,91
"22106","7745","ZKSCAN8","ENSG00000198315",1300,89,906,5,97,20
"22107","7746","ZSCAN9","ENSG00000137185",290,22,231,0,19,9
"22108","7748","ZNF195","ENSG00000005801",313,46,179,0,34,14
"22111","7750","ZMYM2","ENSG00000121741",1995,236,942,1,263,69
"22112","7752","ZNF200","ENSG00000010539",301,13,192,1,35,3
"22113","7753","ZNF202","ENSG00000166261",258,32,247,0,29,18
"22114","7754","ZNF204P",NA,62,15,80,0,3,1
"22115","7755","ZNF205","ENSG00000122386",239,20,153,0,34,36
"22116","7756","ZNF207","ENSG00000010244",1404,147,782,10,189,105
"22117","7757","ZNF208","ENSG00000160321",22,4,14,40,4,32
"22119","7760","ZNF213","ENSG00000085644",362,20,258,1,16,19
"22120","7761","ZNF214","ENSG00000149050",48,5,18,0,8,2
"22121","7762","ZNF215","ENSG00000149054",4,0,15,0,30,3
"22122","7763","ZFAND5","ENSG00000107372",2546,133,1663,4,189,272
"22123","7764","ZNF217","ENSG00000171940",1976,291,1194,8,48,60
"22124","7766","ZNF223","ENSG00000178386",0,0,34,0,0,0
"22125","7767","ZNF224","ENSG00000267680",43,6,63,0,39,14
"22126","7768","ZNF225","ENSG00000256294",352,34,200,13,14,10
"22127","7769","ZNF226","ENSG00000167380",503,35,204,0,61,26
"22129","7770","ZNF227","ENSG00000131115",450,21,188,1,8,15
"22130","7771","ZNF112","ENSG00000062370",157,34,160,0,51,11
"22131","7772","ZNF229","ENSG00000278318",109,9,31,6,6,6
"22132","7773","ZNF230","ENSG00000159882",218,18,143,0,16,0
"22133","7775","ZNF232","ENSG00000167840",236,11,244,0,0,3
"22134","7776","ZNF236","ENSG00000130856",914,92,604,1,91,98
"22135","7779","SLC30A1","ENSG00000170385",3944,151,1666,0,32,40
"22137","7780","SLC30A2","ENSG00000158014",3,6,4,5,1,5
"22138","7781","SLC30A3","ENSG00000115194",6,0,2,0,3,5
"22139","7782","SLC30A4","ENSG00000104154",309,28,159,0,13,16
"22140","7783","ZP2","ENSG00000103310",0,0,0,0,1,1
"22141","7783","ZP2","ENSG00000284588",0,0,0,0,1,1
"22142","7784","ZP3","ENSG00000188372",74,8,29,0,0,3
"22143","7786","MAP3K12","ENSG00000139625",296,70,179,0,145,74
"22144","7789","ZXDA","ENSG00000198205",312,15,185,2,4,10
"22146","7791","ZYX","ENSG00000159840",2693,610,1085,14,234,286
"22147","7791","ZYX","ENSG00000285443",2693,610,1085,14,234,286
"22148","7798","LUZP1","ENSG00000169641",4205,276,2297,4,331,209
"22149","7799","PRDM2","ENSG00000116731",2832,163,1812,15,384,134
"22157","7802","DNALI1","ENSG00000163879",187,4,54,6,5,28
"22158","7803","PTP4A1","ENSG00000112245",2531,128,1320,6,52,78
"22159","7803","PTP4A1","ENSG00000285976",2531,128,1320,6,52,78
"22160","7804","LRP8","ENSG00000157193",4241,131,1780,32,18,87
"22161","7805","LAPTM5","ENSG00000162511",13267,1057,9118,1,41,149
"22163","7809","BSND","ENSG00000162399",0,0,0,7,0,0
"22165","7812","CSDE1","ENSG00000009307",17536,973,10437,27,336,366
"22166","7813","EVI5","ENSG00000067208",1827,161,1464,0,111,52
"22167","7818","DAP3","ENSG00000132676",967,96,650,0,26,26
"22169","7827","NPHS2","ENSG00000116218",0,0,0,0,5,2
"22171","7832","BTG2","ENSG00000159388",23979,309,8322,4,189,166
"22172","7837","PXDN","ENSG00000130508",203,72,95,7,244,265
"22174","7840","ALMS1","ENSG00000116127",3461,172,1687,10,317,139
"22175","7841","MOGS","ENSG00000115275",776,149,399,0,33,31
"22176","7844","RNF103","ENSG00000239305",817,49,450,0,33,32
"22177","7846","TUBA1A","ENSG00000167552",2697,170,1117,6,65,147
"22178","7849","PAX8","ENSG00000125618",23,16,45,0,2,6
"22180","7850","IL1R2","ENSG00000115590",71,12,0,0,5,1
"22181","7851","MALL","ENSG00000144063",22,10,33,0,11,30
"22182","7852","CXCR4","ENSG00000121966",2330,297,1126,0,37,3
"22183","7855","FZD5","ENSG00000163251",149,13,110,8,0,3
"22184","7857","SCG2","ENSG00000171951",70,0,14,9,1,6
"22186","7862","BRPF1","ENSG00000156983",871,113,545,4,120,32
"22187","7866","IFRD2","ENSG00000214706",267,35,147,0,40,32
"22188","7867","MAPKAPK3","ENSG00000114738",771,106,416,5,7,54
"22189","7869","SEMA3B","ENSG00000012171",437,18,255,1,21,22
"22190","7871","SLMAP","ENSG00000163681",1422,79,848,1,202,82
"22191","7873","MANF","ENSG00000145050",350,42,161,0,5,21
"22192","7874","USP7","ENSG00000187555",2939,298,1751,623,1485,812
"22193","7879","RAB7A","ENSG00000075785",6670,578,4018,25,123,182
"22195","7881","KCNAB1","ENSG00000169282",276,40,164,1,1,3
"22196","7884","SLBP","ENSG00000163950",968,49,660,2,13,19
"22234","7903","ST8SIA4","ENSG00000113532",2866,171,1772,4,46,43
"22256","7905","REEP5","ENSG00000129625",3154,209,2188,2,75,32
"22302","7913","DEK","ENSG00000124795",4746,304,3398,100,145,240
"22328","7915","ALDH5A1","ENSG00000112294",570,13,218,0,0,7
"22338","7916","PRRC2A","ENSG00000204469",6900,839,3822,27,457,362
"22339","7916","PRRC2A","ENSG00000231370",6900,839,3822,27,457,362
"22340","7916","PRRC2A","ENSG00000226618",6900,839,3822,27,457,362
"22341","7916","PRRC2A","ENSG00000206427",6900,839,3822,27,457,362
"22342","7916","PRRC2A","ENSG00000231825",6900,839,3822,27,457,362
"22343","7916","PRRC2A","ENSG00000225748",6900,839,3822,27,457,362
"22344","7916","PRRC2A","ENSG00000225164",6900,839,3822,27,457,362
"22400","7917","BAG6","ENSG00000204463",2207,267,1268,25,111,125
"22401","7917","BAG6","ENSG00000229524",2207,267,1268,25,111,125
"22402","7917","BAG6","ENSG00000228760",2207,267,1268,25,111,125
"22403","7917","BAG6","ENSG00000096155",2207,267,1268,25,111,125
"22404","7917","BAG6","ENSG00000234651",2207,267,1268,25,111,125
"22405","7917","BAG6","ENSG00000227761",2207,267,1268,25,111,125
"22406","7917","BAG6","ENSG00000233348",2207,267,1268,25,111,125
"22417","7918","GPANK1","ENSG00000204438",438,25,254,3,33,16
"22418","7918","GPANK1","ENSG00000223932",438,25,254,3,33,16
"22419","7918","GPANK1","ENSG00000233210",438,25,254,3,33,16
"22420","7918","GPANK1","ENSG00000206408",438,25,254,3,33,16
"22421","7918","GPANK1","ENSG00000228605",438,25,254,3,33,16
"22422","7918","GPANK1","ENSG00000232312",438,25,254,3,33,16
"22423","7918","GPANK1","ENSG00000236011",438,25,254,3,33,16
"22429","7919","DDX39B","ENSG00000198563",395,104,233,10,197,89
"22430","7919","DDX39B","ENSG00000237889",395,104,233,10,197,89
"22431","7919","DDX39B","ENSG00000235439",395,104,233,10,197,89
"22432","7919","DDX39B","ENSG00000225859",395,104,233,10,197,89
"22433","7919","DDX39B","ENSG00000225073",395,104,233,10,197,89
"22434","7919","DDX39B","ENSG00000230624",395,104,233,10,197,89
"22435","7919","DDX39B","ENSG00000215425",395,104,233,10,197,89
"22436","7919","DDX39B","ENSG00000229496",395,104,233,10,197,89
"22440","7920","ABHD16A","ENSG00000204427",534,68,362,0,33,15
"22441","7920","ABHD16A","ENSG00000231488",534,68,362,0,33,15
"22442","7920","ABHD16A","ENSG00000206403",534,68,362,0,33,15
"22443","7920","ABHD16A","ENSG00000224552",534,68,362,0,33,15
"22444","7920","ABHD16A","ENSG00000236063",534,68,362,0,33,15
"22445","7920","ABHD16A","ENSG00000230475",534,68,362,0,33,15
"22446","7920","ABHD16A","ENSG00000235676",534,68,362,0,33,15
"22447","7922","SLC39A7","ENSG00000112473",1140,66,634,15,97,115
"22448","7922","SLC39A7","ENSG00000229802",1140,66,634,15,97,115
"22449","7922","SLC39A7","ENSG00000206288",1140,66,634,15,97,115
"22450","7922","SLC39A7","ENSG00000227402",1140,66,634,15,97,115
"22451","7922","SLC39A7","ENSG00000226614",1140,66,634,15,97,115
"22452","7922","SLC39A7","ENSG00000224399",1140,66,634,15,97,115
"22454","7923","HSD17B8","ENSG00000204228",73,16,36,1,3,0
"22455","7923","HSD17B8","ENSG00000228357",73,16,36,1,3,0
"22456","7923","HSD17B8","ENSG00000225312",73,16,36,1,3,0
"22457","7923","HSD17B8","ENSG00000232357",73,16,36,1,3,0
"22458","7923","HSD17B8","ENSG00000112474",73,16,36,1,3,0
"22459","7923","HSD17B8","ENSG00000228712",73,16,36,1,3,0
"22471","7932","OR2H2","ENSG00000204657",1,0,0,0,0,0
"22472","7932","OR2H2","ENSG00000206467",1,0,0,0,0,0
"22473","7932","OR2H2","ENSG00000224319",1,0,0,0,0,0
"22474","7932","OR2H2","ENSG00000227044",1,0,0,0,0,0
"22475","7932","OR2H2","ENSG00000229680",1,0,0,0,0,0
"22476","7932","OR2H2","ENSG00000229185",1,0,0,0,0,0
"22477","7932","OR2H2","ENSG00000206512",1,0,0,0,0,0
"22482","7936","NELFE","ENSG00000204356",695,32,548,13,37,43
"22483","7936","NELFE","ENSG00000206268",695,32,548,13,37,43
"22484","7936","NELFE","ENSG00000233801",695,32,548,13,37,43
"22485","7936","NELFE","ENSG00000229363",695,32,548,13,37,43
"22486","7936","NELFE","ENSG00000206357",695,32,548,13,37,43
"22487","7936","NELFE","ENSG00000231044",695,32,548,13,37,43
"22498","7940","LST1","ENSG00000204482",845,132,667,0,1,5
"22499","7940","LST1","ENSG00000235915",845,132,667,0,1,5
"22500","7940","LST1","ENSG00000230791",845,132,667,0,1,5
"22501","7940","LST1","ENSG00000206433",845,132,667,0,1,5
"22502","7940","LST1","ENSG00000231048",845,132,667,0,1,5
"22503","7940","LST1","ENSG00000234514",845,132,667,0,1,5
"22504","7940","LST1","ENSG00000223465",845,132,667,0,1,5
"22505","7940","LST1","ENSG00000226182",845,132,667,0,1,5
"22507","7941","PLA2G7","ENSG00000146070",146,37,51,0,3,21
"22513","7942","TFEB","ENSG00000112561",683,60,416,5,56,26
"22527","7955","RNF217-AS1","ENSG00000236548",0,1,21,0,1,2
"22530","7957","EPM2A","ENSG00000112425",226,7,88,21,3,1
"22596","7965","AIMP2","ENSG00000106305",206,12,71,0,6,10
"22683","7975","MAFK","ENSG00000198517",515,24,246,2,195,160
"22692","7976","FZD3","ENSG00000104290",381,12,224,9,2,18
"22704","7978","MTERF1","ENSG00000127989",169,12,90,0,17,7
"22714","7979","SEM1","ENSG00000127922",686,61,590,1,30,56
"22724","7980","TFPI2","ENSG00000105825",98,14,623,8,1,2
"22743","7982","ST7","ENSG00000004866",242,6,125,0,40,12
"22761","7984","ARHGEF5","ENSG00000050327",37,2,54,1,36,14
"22762","7984","ARHGEF5","ENSG00000284933",37,2,54,1,36,14
"22800","7988","ZNF212","ENSG00000170260",265,26,116,1,16,26
"22834","7991","TUSC3","ENSG00000104723",141,26,163,0,5,23
"22849","7993","UBXN8","ENSG00000104691",129,15,92,2,17,7
"22858","7994","KAT6A","ENSG00000083168",6377,714,4024,18,475,435
"22906","8000","PSCA","ENSG00000167653",3,0,0,0,0,0
"22914","8001","GLRA3","ENSG00000145451",0,2,2,2,2,5
"22967","8013","NR4A3","ENSG00000119508",3594,16,1100,17,85,79
"23001","8019","BRD3","ENSG00000169925",2114,167,1906,12,38,76
"23014","8021","NUP214","ENSG00000126883",2451,163,1460,10,194,240
"23024","8022","LHX3","ENSG00000107187",0,0,2,0,3,2
"23049","8027","STAM","ENSG00000136738",802,67,524,0,22,26
"23055","8028","MLLT10","ENSG00000078403",711,69,465,2,129,45
"23056","8029","CUBN","ENSG00000107611",77,9,38,48,34,19
"23058","8030","CCDC6","ENSG00000108091",949,70,819,7,122,129
"23066","8031","NCOA4","ENSG00000266412",5261,457,2531,26,47,90
"23092","8034","SLC25A16","ENSG00000122912",216,11,69,0,11,8
"23112","8036","SHOC2","ENSG00000108061",2312,228,1352,1,91,56
"23113","8038","ADAM12","ENSG00000148848",12,5,5,0,8,97
"23116","8045","RASSF7","ENSG00000099849",53,8,51,20,0,0
"23117","8045","RASSF7","ENSG00000273859",53,8,51,20,0,0
"23118","8048","CSRP3","ENSG00000129170",0,0,0,0,0,0
"23120","8050","PDHX","ENSG00000110435",928,4,526,1,48,11
"23121","8061","FOSL1","ENSG00000175592",145,11,135,0,14,21
"23122","8065","CUL5","ENSG00000166266",1390,88,776,17,45,15
"23136","8073","PTP4A2","ENSG00000184007",2878,219,1296,72,84,164
"23159","8074","FGF23","ENSG00000118972",0,0,4,1,0,1
"23187","8076","MFAP5","ENSG00000197614",9,0,4,0,0,1
"23200","8078","USP5","ENSG00000111667",982,115,551,7,39,53
"23203","8079","MLF2","ENSG00000089693",1069,127,544,10,40,53
"23210","8082","SSPN","ENSG00000123096",864,39,393,0,4,3
"23224","8085","KMT2D","ENSG00000167548",6668,735,4157,39,847,583
"23230","8086","AAAS","ENSG00000094914",327,20,143,8,2,14
"23255","8087","FXR1","ENSG00000114416",2278,168,1537,2,80,118
"23256","8089","YEATS4","ENSG00000127337",297,2,118,1,6,1
"23259","8091","HMGA2","ENSG00000149948",12,5,11,16,2,27
"23260","8092","ALX1","ENSG00000180318",11,0,5,0,0,0
"23262","8099","CDK2AP1","ENSG00000111328",1743,98,973,3,50,73
"23266","8100","IFT88","ENSG00000032742",297,18,130,1,16,17
"23277","8106","PABPN1","ENSG00000100836",386,56,345,46,151,168
"23281","8110","DPF3","ENSG00000205683",29,9,22,2,10,22
"23282","8111","GPR68","ENSG00000119714",34,7,7,0,26,5
"23284","8115","TCL1A","ENSG00000100721",50,0,0,0,0,3
"23286","8120","AP3B2","ENSG00000103723",39,0,21,6,24,10
"23287","8123","PWAR5","ENSG00000279192",453,23,201,0,5,9
"23288","8125","ANP32A","ENSG00000140350",1269,93,1338,13,49,100
"23289","8128","ST8SIA2","ENSG00000140557",0,4,1,15,31,4
"23295","8131","NPRL3","ENSG00000103148",609,53,416,21,14,12
"23301","8139","GAN","ENSG00000261609",333,16,129,2,36,14
"23305","8140","SLC7A5","ENSG00000103257",35153,857,13333,9,78,643
"23312","8148","TAF15","ENSG00000270647",1611,134,1419,18,183,152
"23313","8148","TAF15","ENSG00000276833",1611,134,1419,18,183,152
"23324","8153","RND2","ENSG00000108830",86,1,22,0,0,15
"23367","8161","COIL","ENSG00000121058",473,27,298,1,5,16
"23386","8165","AKAP1","ENSG00000121057",1656,57,777,2,46,52
"23404","8170","SLC14A2","ENSG00000132874",32,5,1,1,3,2
"23407","8174","MADCAM1","ENSG00000099866",4,0,0,1,0,0
"23408","8175","SF3A2","ENSG00000104897",1471,164,809,3,53,76
"23409","8178","ELL","ENSG00000105656",649,83,490,23,49,48
"23446","8187","ZNF239","ENSG00000196793",112,2,26,0,0,0
"23459","8189","SYMPK","ENSG00000125755",793,130,561,10,205,131
"23465","8190","MIA","ENSG00000261857",0,0,6,0,0,0
"23466","8192","CLPP","ENSG00000125656",346,26,166,1,18,11
"23470","8193","DPF1","ENSG00000011332",24,0,27,1,11,16
"23474","8195","MKKS","ENSG00000125863",504,31,308,4,11,32
"23476","8200","GDF5","ENSG00000125965",25,0,9,4,0,0
"23477","8202","NCOA3","ENSG00000124151",2728,238,1957,4,204,136
"23478","8204","NRIP1","ENSG00000180530",4630,221,3722,27,119,125
"23479","8208","CHAF1B","ENSG00000159259",100,0,57,1,0,15
"23480","8209","GATD3","ENSG00000160221",1215,93,623,2,53,31
"23483","8214","DGCR6","ENSG00000183628",454,4,175,2,5,5
"23484","8216","LZTR1","ENSG00000099949",766,95,464,1,86,86
"23485","8218","CLTCL1","ENSG00000070371",127,21,71,0,7,14
"23487","8220","ESS2","ENSG00000100056",346,28,165,2,20,16
"23488","8224","SYN3","ENSG00000185666",28,1,16,1,0,2
"23489","8225","GTPBP6","ENSG00000178605",1,0,0,0,0,1
"23490","8226","PUDP","ENSG00000130021",197,26,83,1,1,16
"23491","8227","AKAP17A","ENSG00000197976",3,1,0,0,1,1
"23492","8228","PNPLA4","ENSG00000006757",221,15,64,7,5,9
"23494","8233","ZRSR2","ENSG00000169249",192,39,216,2,29,72
"23495","8237","USP11","ENSG00000102226",3349,157,1489,3,49,84
"23496","8239","USP9X","ENSG00000124486",4927,396,2291,10,240,185
"23498","8241","RBM10","ENSG00000182872",1014,104,535,0,110,53
"23499","8242","KDM5C","ENSG00000126012",1603,147,880,35,148,160
"23500","8243","SMC1A","ENSG00000072501",6427,536,5293,20,491,568
"23503","8260","NAA10","ENSG00000102030",497,48,424,1,132,59
"23504","8263","F8A1","ENSG00000288722",82,4,39,2,2,10
"23505","8266","UBL4A","ENSG00000102178",470,73,131,0,8,15
"23506","8269","TMEM187","ENSG00000177854",133,11,49,0,0,3
"23508","8270","LAGE3","ENSG00000196976",119,6,80,1,12,7
"23509","8273","SLC10A3","ENSG00000126903",396,38,178,1,2,6
"23510","8277","TKTL1","ENSG00000007350",12,12,9,0,4,1
"23512","8284","KDM5D","ENSG00000012817",944,127,561,0,130,1
"23513","8287","USP9Y","ENSG00000114374",1170,121,641,1,163,3
"23514","8288","EPX","ENSG00000121053",7,0,2,0,0,0
"23515","8289","ARID1A","ENSG00000117713",5523,771,3895,24,288,322
"23517","8290","H3-4","ENSG00000168148",3,2,0,9,0,0
"23518","8290","H3-4","ENSG00000285435",3,2,0,9,0,0
"23519","8291","DYSF","ENSG00000135636",1504,420,563,17,1032,527
"23520","8292","COLQ","ENSG00000206561",7,9,4,4,4,28
"23521","8293","SERF1A","ENSG00000172058",1,0,0,0,0,2
"23522","8293","SERF1A","ENSG00000277429",1,0,0,0,0,2
"23523","8293","SERF1A","ENSG00000275581",1,0,0,0,0,2
"23524","8293","SERF1A","ENSG00000278839",1,0,0,0,0,2
"23525","8293","SERF1A","ENSG00000205572",1,0,0,0,0,2
"23526","8294","H4C9","ENSG00000276180",235,7,345,2,15,4
"23527","8295","TRRAP","ENSG00000196367",3144,343,1605,25,309,232
"23529","8301","PICALM","ENSG00000073921",7079,752,2861,11,225,220
"23530","8302","KLRC4","ENSG00000183542",4,0,0,0,0,0
"23531","8303","SNN","ENSG00000184602",732,31,421,1,40,11
"23532","8309","ACOX2","ENSG00000168306",129,1,72,8,9,0
"23534","8310","ACOX3","ENSG00000087008",333,30,191,7,36,15
"23535","8312","AXIN1","ENSG00000103126",576,138,291,12,9,45
"23536","8313","AXIN2","ENSG00000168646",2479,80,716,18,51,46
"23537","8314","BAP1","ENSG00000163930",1371,105,731,5,117,79
"23538","8315","BRAP","ENSG00000089234",913,61,583,2,56,16
"23539","8317","CDC7","ENSG00000097046",47,6,36,0,0,11
"23540","8318","CDC45","ENSG00000093009",112,9,30,4,21,21
"23542","8320","EOMES","ENSG00000163508",5,3,0,6,3,3
"23543","8321","FZD1","ENSG00000157240",632,42,286,8,2,14
"23544","8322","FZD4","ENSG00000174804",823,36,422,2,165,166
"23545","8323","FZD6","ENSG00000164930",1326,89,1032,7,83,69
"23546","8324","FZD7","ENSG00000155760",98,8,76,0,1,0
"23547","8325","FZD8","ENSG00000177283",111,17,60,16,21,49
"23549","8326","FZD9","ENSG00000188763",153,4,68,9,0,3
"23550","8328","GFI1B","ENSG00000165702",47,11,6,0,0,4
"23553","8330","H2AC15","ENSG00000275221",288,6,181,1,12,1
"23554","8331","H2AC14","ENSG00000276368",194,19,302,0,18,25
"23555","8332","H2AC16","ENSG00000276903",754,46,1081,21,10,17
"23556","8334","H2AC6","ENSG00000180573",3517,154,1732,1,44,62
"23557","8335","H2AC4","ENSG00000278463",498,5,368,1,22,13
"23558","8336","H2AC17","ENSG00000278677",1239,49,1333,0,31,49
"23559","8338","H2AC20","ENSG00000184260",3957,165,1028,0,22,36
"23560","8339","H2BC8","ENSG00000273802",2103,85,1237,0,38,13
"23563","8340","H2BC13","ENSG00000185130",103,10,177,0,0,14
"23565","8341","H2BC15","ENSG00000233822",333,17,303,5,21,34
"23568","8342","H2BC14","ENSG00000273703",304,9,427,15,7,38
"23569","8343","H2BC7","ENSG00000277224",1728,48,1387,3,13,24
"23571","8344","H2BC6","ENSG00000274290",339,6,597,0,4,12
"23581","8345","H2BC9","ENSG00000275713",550,6,685,0,23,16
"23585","8346","H2BC10","ENSG00000278588",399,16,229,0,22,11
"23591","8347","H2BC4","ENSG00000180596",9052,304,4588,21,108,123
"23596","8348","H2BC17","ENSG00000274641",313,11,288,0,13,13
"23602","8349","H2BC21","ENSG00000184678",1806,116,1205,6,55,18
"23604","8350","H3C1","ENSG00000275714",388,12,334,0,0,8
"23605","8351","H3C4","ENSG00000197409",810,19,460,1,14,14
"23606","8352","H3C3","ENSG00000287080",50,0,70,0,31,37
"23607","8353","H3C6","ENSG00000274750",109,3,19,1,0,1
"23610","8354","H3C11","ENSG00000275379",761,21,783,3,13,14
"23620","8355","H3C8","ENSG00000273983",10,0,8,0,22,14
"23624","8356","H3C12","ENSG00000197153",92,0,58,0,0,2
"23625","8357","H3C10","ENSG00000278828",995,28,876,6,27,34
"23626","8358","H3C2","ENSG00000286522",108,0,47,0,37,54
"23627","8359","H4C1","ENSG00000278637",169,15,41,8,3,0
"23639","8360","H4C4","ENSG00000277157",921,24,371,0,36,14
"23645","8361","H4C6","ENSG00000274618",593,7,495,0,3,2
"23646","8362","H4C12","ENSG00000273542",165,10,106,3,0,15
"23647","8363","H4C11","ENSG00000197238",131,2,61,0,8,0
"23652","8364","H4C3","ENSG00000197061",1407,19,1002,1,28,11
"23658","8365","H4C8","ENSG00000158406",614,22,303,0,43,22
"23667","8366","H4C2","ENSG00000278705",1041,15,860,7,21,13
"23673","8367","H4C5","ENSG00000276966",4489,74,1442,4,4,26
"23674","8368","H4C13","ENSG00000275126",450,38,310,0,22,19
"23675","8369","H4C7","ENSG00000275663",0,0,0,0,0,0
"23686","8370","H4C14","ENSG00000270882",0,0,2,0,0,1
"23694","8372","HYAL3","ENSG00000186792",17,5,12,0,0,17
"23717","8379","MAD1L1","ENSG00000002822",1046,159,1008,5,253,204
"23720","8382","NME5","ENSG00000112981",18,0,5,1,0,0
"23721","8383","OR1A1","ENSG00000172146",0,0,0,0,0,0
"23733","8386","OR1D5","ENSG00000262628",0,0,0,33,0,0
"23743","8387","OR1E1","ENSG00000180016",0,0,1,0,6,1
"23753","8388","OR1E2","ENSG00000127780",0,0,0,0,3,1
"23776","8390","OR1G1","ENSG00000183024",0,0,0,0,0,4
"23783","8392","OR3A3","ENSG00000159961",0,0,0,0,0,0
"23792","8394","PIP5K1A","ENSG00000143398",539,49,259,0,36,33
"23797","8395","PIP5K1B","ENSG00000107242",468,15,286,0,12,0
"23803","8396","PIP4K2B","ENSG00000276293",2215,155,1025,6,154,69
"23804","8396","PIP4K2B","ENSG00000277292",2215,155,1025,6,154,69
"23805","8398","PLA2G6","ENSG00000184381",166,16,100,0,34,29
"23814","8399","PLA2G10","ENSG00000069764",0,0,2,0,0,0
"23815","8399","PLA2G10","ENSG00000276870",0,0,2,0,0,0
"23823","8402","SLC25A11","ENSG00000108528",620,69,341,0,5,20
"23824","8403","SOX14","ENSG00000168875",0,0,0,0,0,4
"23827","8404","SPARCL1","ENSG00000152583",48926,2465,31893,18,1357,1506
"23828","8405","SPOP","ENSG00000121067",1574,81,722,4,50,49
"23834","8406","SRPX","ENSG00000101955",32,108,39,0,0,1
"23845","8407","TAGLN2","ENSG00000158710",2237,265,1150,9,182,220
"23856","8408","ULK1","ENSG00000177169",563,59,346,5,154,91
"23862","8409","UXT","ENSG00000126756",407,37,161,0,2,18
"23873","8411","EEA1","ENSG00000102189",3298,248,2410,31,212,153
"23874","8412","BCAR3","ENSG00000137936",935,34,573,6,45,72
"23896","8416","ANXA9","ENSG00000143412",207,12,63,7,16,1
"23903","8417","STX7","ENSG00000079950",3073,164,1998,1,37,36
"23910","8418","CMAHP","ENSG00000168405",232,132,201,1,225,113
"23917","8419","BFSP2","ENSG00000170819",0,0,0,0,0,2
"23924","8420","SNHG3","ENSG00000242125",69,7,24,0,20,13
"23946","8424","BBOX1","ENSG00000129151",28,2,5,0,0,1
"23954","8425","LTBP4","ENSG00000090006",480,156,1198,39,41,47
"23973","8427","ZNF282","ENSG00000170265",760,96,369,21,47,59
"23984","8428","STK24","ENSG00000102572",2376,151,1731,5,89,115
"24013","8431","NR0B2","ENSG00000131910",0,0,0,18,0,0
"24032","8433","UTF1","ENSG00000171794",1,0,1,1,3,1
"24041","8434","RECK","ENSG00000122707",1159,33,693,5,40,27
"24045","8435","SOAT2","ENSG00000167780",0,0,0,2,2,0
"24046","8436","CAVIN2","ENSG00000168497",8185,145,3582,30,363,739
"24050","8437","RASAL1","ENSG00000111344",30,6,4,2,6,7
"24052","8438","RAD54L","ENSG00000085999",12,1,7,19,0,5
"24053","8439","NSMAF","ENSG00000035681",1026,99,550,3,53,24
"24055","8440","NCK2","ENSG00000071051",1588,116,847,45,80,151
"24059","8443","GNPAT","ENSG00000116906",554,61,394,0,50,16
"24066","8444","DYRK3","ENSG00000143479",86,12,64,1,52,6
"24075","8445","DYRK2","ENSG00000127334",1211,29,690,1,23,54
"24082","8446","DUSP11","ENSG00000144048",202,14,198,0,26,25
"24091","8447","DOC2B","ENSG00000272636",132,53,97,2,28,11
"24092","8447","DOC2B","ENSG00000272670",132,53,97,2,28,11
"24093","8448","DOC2A","ENSG00000149927",1,6,14,7,7,2
"24094","8449","DHX16","ENSG00000204560",1141,106,936,9,155,91
"24095","8449","DHX16","ENSG00000227222",1141,106,936,9,155,91
"24096","8449","DHX16","ENSG00000226171",1141,106,936,9,155,91
"24097","8449","DHX16","ENSG00000233049",1141,106,936,9,155,91
"24098","8449","DHX16","ENSG00000233418",1141,106,936,9,155,91
"24099","8449","DHX16","ENSG00000233561",1141,106,936,9,155,91
"24100","8449","DHX16","ENSG00000206486",1141,106,936,9,155,91
"24101","8449","DHX16","ENSG00000231377",1141,106,936,9,155,91
"24105","8450","CUL4B","ENSG00000158290",2320,150,1549,2,84,73
"24110","8451","CUL4A","ENSG00000139842",2078,169,1285,2,189,98
"24118","8452","CUL3","ENSG00000036257",2281,249,1167,180,420,283
"24126","8453","CUL2","ENSG00000108094",803,70,468,9,31,25
"24131","8454","CUL1","ENSG00000055130",1437,83,618,14,81,68
"24139","8455","ATRN","ENSG00000088812",2087,194,1468,12,54,46
"24144","8456","FOXN1","ENSG00000109101",0,6,1,2,3,0
"24150","8458","TTF2","ENSG00000116830",380,53,234,1,26,47
"24151","8459","TPST2","ENSG00000128294",1135,190,798,0,51,37
